ID Caso de Prueba;Módulo;Requisito Asociado;ISO 25010 Característica;Subcaracterística;Descripción Prueba;Datos de Entrada;Resultado Esperado;Resultado Obtenido;Estado;Observaciones
CP-001;Login;RF-06 (Autenticación);Security;Authenticity;Verificar inicio de sesión con credenciales válidas;admin / admin123;Acceso exitoso al sistema rol "official";;Pendiente;
CP-002;Login;RF-06 (Autenticación);Security;Authenticity;Verificar rechazo con credenciales inválidas;admin / wrongpass;Mensaje error "Usuario o contraseña incorrectos";;Pendiente;
CP-003;Login;RF-06 (Autenticación);Usability;Appropriateness Recognizability;Verificar que la pantalla de login muestre instrucciones claras;N/A;Interfaz con placeholders, credenciales de prueba visibles;;Pendiente;
CP-004;Check-In Vehículo;RF-01 (Cálculo 180 días);Functional Suitability;Functional Correctness;Registrar check-in vehículo particular;Patente: ABCD-12, Marca: Toyota, Modelo: Corolla;Check-in creado con estado "pending", código generado;;Pendiente;
CP-005;Check-In Vehículo;RF-02 (Placa Diplomática);Functional Suitability;Functional Appropriateness;Registrar check-in vehículo diplomático;Tipo: Diplomático, Patente: CD-12;Check-in creado, días máx 90;;Pendiente;
CP-006;Check-In Menor;RF-DOC (Documentación menores);Functional Suitability;Functional Completeness;Registrar check-in menor de edad con autorización;Nombre: Pedro, Acompañado: un progenitor, Autorización: Sí;Check-in creado correctamente;;Pendiente;
CP-007;Check-In Menor;RF-DOC (Documentación menores);Reliability;Fault Tolerance;Registrar check-in menor SIN autorización (debe permitir registro con advertencia);Nombre: Ana, Sin autorización;Check-in creado con nota "sin autorización";;Pendiente;
CP-008;Check-In Mascota;RF-03 (Declaración SAG);Functional Suitability;Functional Completeness;Registrar check-in mascota con vacunas y microchip;Perro "Firulais", Vacunas: Sí, Microchip: Sí;Check-in creado, datos registrados;;Pendiente;
CP-009;Check-In Mascota;RF-03 (Declaración SAG);Functional Suitability;Functional Appropriateness;Registrar check-in mascota sin vacunas;Gato "Miau", Vacunas: No;Check-in creado indicando "sin vacunas";;Pendiente;
CP-010;Check-In General;RF-06 (Guardado borrador);Reliability;Recoverability;Registrar trámite general en modo offline;Desconectar red, llenar formulario, enviar;Datos guardados en IndexedDB localmente;;Pendiente;
CP-011;Sincronización;RF-NF (Modo offline);Reliability;Fault Tolerance;Verificar sincronización automática al recuperar conexión;CP-010 creado offline, reconectar red;Check-in se sincroniza al servidor automáticamente;;Pendiente;
CP-012;Sincronización;RF-NF (Modo offline);Reliability;Recoverability;Crear múltiples check-ins offline y sincronizar en lote;3 check-ins offline, luego conectar;Los 3 se sincronizan correctamente;;Pendiente;
CP-013;Panel Oficial;RF-09 (Log de auditoría);Functional Suitability;Functional Correctness;Aceptar un trámite desde el panel de oficiales;Check-in pendiente, hacer clic en "Aceptar";Estado cambia a "accepted", se registra procesado por;;Pendiente;
CP-014;Panel Oficial;RF-09 (Log de auditoría);Functional Suitability;Functional Correctness;Rechazar un trámite con motivo;Check-in pendiente, hacer clic en "Rechazar", escribir motivo;Estado cambia a "rejected", motivo visible;;Pendiente;
CP-015;Panel Oficial;RF-09 (Log de auditoría);Functional Suitability;Functional Correctness;Enviar trámite a revisión;Check-in pendiente, hacer clic en "Enviar a Revisión";Estado cambia a "in_review";;Pendiente;
CP-016;Panel Oficial;RF-NF (Disponibilidad);Usability;Operability;Panel muestra estadísticas de trámites por estado;Múltiples check-ins con distintos estados;Cards de stats con conteos correctos;;Pendiente;
CP-017;Dashboard Viajero;RF-06 (Consulta borradores);Usability;User Interface Aesthetics;Ver historial de mis trámites como viajero;Viajero con 3+ check-ins;Lista ordenada por fecha, badges de estado visibles;;Pendiente;
CP-018;Modo Offline;RF-NF (Fiabilidad offline);Reliability;Fault Tolerance;Navegación completa sin conexión a internet;Desconectar servidor, navegar todas las páginas;Todas las funciones disponibles sin conexión;;Pendiente;
CP-019;Modo Offline;RF-NF (Sync automático);Reliability;Recoverability;Acción de oficial offline se sincroniza al conectar;Oficial rechaza offline, luego conecta;Estado se refleja en servidor tras sync;;Pendiente;
CP-020;Rendimiento;RF-NF (Rendimiento 1.5s);Performance Efficiency;Time Behaviour;Carga del panel oficial con 50+ check-ins;50 check-ins mock;Panel carga en menos de 3 segundos;;Pendiente;
CP-021;Responsividad;RF-NF (Portabilidad);Portability;Adaptability;Verificar diseño responsivo en distintas resoluciones;Resoluciones 320px, 768px, 1200px+;Layout se adapta sin pérdida de funcionalidad;;Pendiente;
CP-022;Navegación;RF-NF (Usabilidad);Usability;Operability;Navegar entre todas las rutas de la aplicación;Login → CheckIn → Dashboard → Panel Oficial → Detalle;Transiciones suaves sin errores 404;;Pendiente;
CP-023;Datos Vehículo;RF-01 (Cálculo fechas);Functional Suitability;Functional Appropriateness;Validar que vehículo diplomático muestre límite 90 días;Seleccionar "Diplomático";Info box muestra "90 días máx";;Pendiente;
CP-024;Múltiples tipos;RF-TODOS;Functional Suitability;Functional Completeness;Usuario viajero crea 3 check-ins de distinto tipo secuencialmente;Vehículo + Menor + Mascota;Los 3 aparecen en dashboard viajero;;Pendiente;
